Nome do exercício ,Séries e Repetições,Descanso,Instruções/Observações,Link do vídeo, Dificuldade 
Dobrar a mão com dedos esticados,2x 40s,30s,"Faça o exercício mantendo nessa posição por 40 segundos. Depois, descanse 30 segundos e faça mais 40 segundos do exercício.",https://youtu.be/y12pJEuOz9s, Fácil
Dobrar os dedos gradualmente,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/4S1nokkJePs, Fácil
Caminhada com os dedos,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/vWxTeAcBrsA, Fácil
Círculos com os punhos,2x 10,30s,"Faça o exercício 10 vezes. Depois, descanse 30 segundos e faça mais 10 vezes.",https://youtu.be/VIfWchZPtkU, Fácil
Afastar os dedos,2x 40s,30s,"Faça o exercício mantendo nessa posição por 40 segundos. Depois, descanse 30 segundos e faça mais 40 segundos do exercício.",https://youtu.be/-dPE_rdWphs, Fácil
Punhos para trás com elástico,1x 10,–,Faça o exercício 10 vezes.,https://youtu.be/FTRwq_fLSlg, Fácil
Apertar as mãos,1x 10,–,"Faça o exercício 10 vezes. Você poderá utilizar massinha, uma bolinha, uma toalha dobrada ou qualquer outro objeto macio para apertar.",https://youtu.be/0SX7NUtbmt8, Fácil
Apertar os dedos,1x 10,–,"Faça o exercício 10 vezes. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio entre os dedos para apertar.",https://youtu.be/ceNLqeOYTZw, Fácil
Pinça com os dedos,1x 10,–,"Faça o exercício 10 vezes. Você poderá utilizar massinha, uma toalha dobrada ou qualquer objeto macio entre os dedos para apertar.",https://youtu.be/ueggwh9RL04, Fácil
Punhos para cima com peso,1x 10,–,"Faça o exercício 10 vezes. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/6e6w1Q_DKhk, Fácil
Punhos para baixo com peso,1x 10,–,"Faça o exercício 10 vezes. Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.",https://youtu.be/UtunQmTdl_w, Fácil
